$RSRFA,1688650106.521,41.5711,-71.4044,41.80,RSI,4,4,89.6,101.63,41.5710,-71.4033,8.7,15.5,100,*04
$RSRFA,1688650111.77,41.5712,-71.4042,78.36,RSI,4,4,74.3,91.64,41.5712,-71.4033,8.7,15.5,100,*0C
$RSRFA,1688650117.101,41.5712,-71.4039,88.47,RSI,3,3,415.8,93.30,41.5710,-71.3989,8.2,15.5,100,*0C
$RSRFA,1688650117.112,41.5712,-71.4039,88.47,RSI,4,4,54.3,104.33,41.5711,-71.4033,8.7,15.5,100,*03
$RSRFA,1688650122.573,41.5712,-71.4037,95.65,RSI,3,3,394.5,85.68,41.5714,-71.3990,8.2,15.5,100,*0C
$RSRFA,1688650122.584,41.5712,-71.4037,95.65,RSI,4,4,33.3,78.19,41.5712,-71.4033,8.7,15.5,100,*3C
$RSRFA,1688650127.834,41.5711,-71.4034,100.06,RSI,3,3,373.4,86.92,41.5713,-71.3990,8.2,15.5,100,*36
$RSRFA,1688650132.971,41.5710,-71.4032,84.26,RSI,3,3,352.3,100.57,41.5705,-71.3990,8.2,15.5,100,*3F
$RSRFA,1688650132.982,41.5710,-71.4032,84.26,RSI,4,4,13.6,307.14,41.5711,-71.4033,8.7,15.5,100,*05
$RSRFA,1688650138.178,41.5710,-71.4030,86.04,RSI,3,3,333.0,96.35,41.5707,-71.3990,8.2,15.5,100,*08
$RSRFA,1688650143.445,41.5710,-71.4027,89.94,RSI,3,3,313.9,79.99,41.5715,-71.3990,8.2,15.5,100,*00
$RSRFA,1688650143.461,41.5710,-71.4027,89.94,RSI,4,4,49.8,296.69,41.5712,-71.4033,8.7,15.5,100,*02
$RSRFA,1688650148.597,41.5709,-71.4025,92.52,RSI,3,3,296.9,81.70,41.5713,-71.3990,8.2,15.5,100,*05
$RSRFA,1688650148.597,41.5709,-71.4025,92.52,RSI,4,4,67.1,287.05,41.5711,-71.4033,8.7,15.5,100,*07
$RSRFA,1688650153.825,41.5709,-71.4024,123.66,RSI,4,4,78.8,285.69,41.5711,-71.4033,8.7,15.5,100,*3B
$RSRFA,1688650158.95,41.5708,-71.4023,135.56,RSI,3,3,279.2,91.78,41.5708,-71.3989,8.2,15.5,100,*0D
$RSRFA,1688650158.959,41.5708,-71.4023,135.56,RSI,4,4,87.0,297.06,41.5712,-71.4032,8.7,15.5,100,*38
$RSRFA,1688650164.113,41.5708,-71.4022,142.29,RSI,3,3,273.9,95.72,41.5705,-71.3990,8.2,15.5,100,*3E
$RSRFA,1688650164.12,41.5708,-71.4022,142.29,RSI,4,4,93.9,302.05,41.5712,-71.4032,8.7,15.5,100,*0A
$RSRFA,1688650169.084,41.5707,-71.4022,147.53,RSI,3,3,269.3,89.58,41.5707,-71.3989,8.2,15.5,100,*35
$RSRFA,1688650174.58,41.5707,-71.4021,149.76,RSI,3,3,265.3,94.66,41.5705,-71.3990,8.2,15.5,100,*05
$RSRFA,1688650174.588,41.5707,-71.4021,149.76,RSI,4,4,106.9,301.54,41.5712,-71.4032,8.7,15.5,100,*0A
$RSRFA,1688650179.974,41.5706,-71.4021,149.39,RSI,3,3,261.1,95.54,41.5704,-71.3990,8.2,15.5,100,*32
