$RIRFA,738430.625231,41.545878,-71.389425, 87.0,0002,211.89,231.54,41.544693,-71.391418*7A
$RIRFA,738430.625336,41.545776,-71.389416, 89.4,0002,207.58,231.87,41.544624,-71.391378*7F
$RIRFA,738430.625440,41.545678,-71.389409, 89.6,0002,203.58,232.11,41.544553,-71.391340*7A
$RIRFA,738430.625556,41.545573,-71.389405, 89.5,0001,286.14,214.70,41.543458,-71.391363*72
$RIRFA,738430.625556,41.545573,-71.389405, 89.5,0002,199.77,231.45,41.544454,-71.391283*7C
$RIRFA,738430.625648,41.545471,-71.389402, 95.3,0001,278.49,210.33,41.543309,-71.391092*75
$RIRFA,738430.625752,41.545374,-71.389411,100.3,0001,271.24,213.99,41.543352,-71.391233*64
$RIRFA,738430.625845,41.545283,-71.389429, 98.5,0001,262.74,208.13,41.543199,-71.390917*7F
$RIRFA,738430.625845,41.545283,-71.389429, 98.5,0002,189.05,247.77,41.544640,-71.391532*7B
$RIRFA,738430.625949,41.545184,-71.389444, 97.6,0001,254.67,217.11,41.543358,-71.391290*70
$RIRFA,738430.626157,41.544987,-71.389467, 95.9,0002,182.49,251.36,41.544462,-71.391545*74
$RIRFA,738430.626262,41.544886,-71.389479, 96.3,0001,232.77,224.26,41.543387,-71.391431*7B
$RIRFA,738430.627083,41.544092,-71.389516, 90.9,0002,202.77,279.62,41.544397,-71.391918*76
$RIRFA,738430.627176,41.544002,-71.389512, 88.5,0002,208.58,287.03,41.544551,-71.391909*78
$RIRFA,738430.628322,41.543254,-71.390039,173.7,0001,153.70,273.46,41.543337,-71.391882*6C
$RIRFA,738430.628437,41.543238,-71.390162,184.3,0001,145.02,277.11,41.543400,-71.391892*60
$RIRFA,738430.628530,41.543239,-71.390279,191.5,0001,135.95,275.63,41.543359,-71.391905*66
$RIRFA,738430.628634,41.543254,-71.390390,194.9,0001,126.77,279.76,41.543447,-71.391891*67
$RIRFA,738430.628738,41.543275,-71.390503,198.6,0001,117.52,276.35,41.543392,-71.391906*6B
$RIRFA,738430.628843,41.543304,-71.390607,197.2,0001,108.02,281.78,41.543503,-71.391877*60
$RIRFA,738430.628947,41.543332,-71.390718,191.9,0001,98.39,283.13,41.543533,-71.391870*59
$RIRFA,738430.629051,41.543350,-71.390823,187.4,0001,89.36,284.02,41.543545,-71.391865*52
$RIRFA,738430.629259,41.543362,-71.391047,177.0,0001,71.99,284.53,41.543524,-71.391884*57
$RIRFA,738430.629363,41.543353,-71.391164,178.8,0001,64.08,296.12,41.543607,-71.391855*5E
$RIRFA,738430.629572,41.543344,-71.391409,190.4,0001,48.67,302.19,41.543577,-71.391904*5B
$RIRFA,738430.630093,41.543280,-71.392014,159.6,0002,183.52,351.54,41.544912,-71.392339*6F
$RIRFA,738430.631238,41.543448,-71.393349,215.6,0001,126.02,61.53,41.543988,-71.392018*54
$RIRFA,738430.631447,41.543570,-71.393540,241.0,0001,138.27,61.46,41.544164,-71.392081*59
$RIRFA,738430.631539,41.543645,-71.393597,246.9,0001,142.42,72.27,41.544035,-71.391967*5C
$RIRFA,738430.631644,41.543733,-71.393644,245.5,0001,146.74,84.52,41.543859,-71.391889*59
$RIRFA,738430.631748,41.543822,-71.393694,251.0,0002,201.02,30.53,41.545379,-71.392467*5A
$RIRFA,738430.632581,41.544147,-71.393751,276.6,0003,14.80,156.48,41.544025,-71.393680*5F
$RIRFA,738430.632685,41.544153,-71.393744,283.8,0003,15.05,152.56,41.544033,-71.393661*52
$RIRFA,738430.632894,41.544158,-71.393724,300.7,0003,15.05,199.05,41.544030,-71.393783*5B
$RIRFA,738430.632998,41.544157,-71.393712,306.0,0001,158.86,88.67,41.544190,-71.391804*50
$RIRFA,738430.633102,41.544155,-71.393702,312.4,0001,157.95,95.35,41.544023,-71.391812*50
$RIRFA,738430.633924,41.544148,-71.393443,316.2,0003,30.49,255.05,41.544078,-71.393797*54
$RIRFA,738430.634028,41.544198,-71.393349,309.8,0003,37.92,253.26,41.544100,-71.393785*59
$RIRFA,738430.634132,41.544256,-71.393265,292.9,0001,129.17,107.36,41.543910,-71.391784*60
$RIRFA,738430.634340,41.544415,-71.393171,276.1,0001,133.89,108.40,41.544035,-71.391645*65
$RIRFA,738430.634838,41.544853,-71.393110,261.8,0002,113.74,66.49,41.545261,-71.391857*5B
$RIRFA,738430.634931,41.544907,-71.393116,265.8,0002,113.83,231.24,41.544266,-71.394182*60
$RIRFA,738430.635035,41.544948,-71.393113,272.6,0003,104.58,194.27,41.544037,-71.393422*6A
$RIRFA,738430.635139,41.544979,-71.393104,283.1,0003,107.08,200.85,41.544079,-71.393562*65
$RIRFA,738430.635231,41.545001,-71.393090,293.0,0002,68.02,45.30,41.545432,-71.392509*6D
$RIRFA,738430.635637,41.545037,-71.393015,329.7,0002,106.11,89.29,41.545049,-71.391740*57
$RIRFA,738430.635741,41.545036,-71.392995,333.7,0002,104.80,83.26,41.545147,-71.391744*59
$RIRFA,738430.636250,41.545058,-71.392831,315.0,0003,127.58,212.74,41.544093,-71.393660*6F
$RIRFA,738430.636354,41.545108,-71.392750,295.4,0001,172.67,134.32,41.544023,-71.391266*6B
$RIRFA,738430.636354,41.545108,-71.392750,295.4,0002,84.58,83.47,41.545194,-71.391740*6E
$RIRFA,738430.636458,41.545166,-71.392694,293.8,0001,176.24,138.19,41.543985,-71.391282*65
$RIRFA,738430.636551,41.545221,-71.392647,281.2,0002,81.74,81.05,41.545335,-71.391677*62
$RIRFA,738430.636968,41.545550,-71.392703,230.3,0002,109.77,123.21,41.545009,-71.391599*6D
$RIRFA,738430.637072,41.545628,-71.392779,233.0,0001,231.95,161.58,41.543649,-71.391898*68
$RIRFA,738430.637072,41.545628,-71.392779,233.0,0002,119.92,123.03,41.545041,-71.391571*6F
$RIRFA,738430.637384,41.545870,-71.392994,241.4,0003,203.67,183.72,41.544043,-71.393153*60
$RIRFA,738430.637697,41.546042,-71.393120,215.1,0002,170.49,135.59,41.544947,-71.391686*61
